date,Mkt,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other,RF
1926-07-01,0.00098791,0.00020000,-0.00280000,-0.00410000,0.00570000,0.00520000,-0.00250000,-0.00020000,0.00610000,-0.00010000,0.00970000,0.00580000,0.00190000,0.00008791
1926-07-02,0.00458791,0.00290000,0.01070000,0.00830000,0.00640000,0.00970000,0.00130000,0.00260000,0.00470000,0.00010000,0.00130000,-0.00160000,0.00110000,0.00008791
1926-07-06,0.00178791,0.00240000,0.00720000,0.00240000,0.00170000,0.00230000,0.00440000,0.00170000,0.00730000,-0.00230000,0.00230000,0.00200000,-0.00200000,0.00008791
1926-07-07,0.00098791,0.00270000,0.00060000,0.00050000,-0.00040000,0.00730000,-0.00010000,0.00320000,0.00170000,-0.00590000,0.00330000,-0.00070000,0.00170000,0.00008791
1926-07-08,0.00228791,0.00690000,0.00050000,0.00230000,0.00120000,-0.00090000,0.00360000,0.00400000,-0.00200000,-0.00360000,0.00910000,-0.00480000,0.00430000,0.00008791
1926-07-09,-0.00701209,-0.00390000,-0.01150000,-0.00930000,-0.01600000,-0.01570000,-0.00830000,0.00210000,-0.00740000,0.00400000,-0.00280000,-0.00030000,-0.00260000,0.00008791
1926-07-10,0.00618791,0.00670000,0.01230000,0.00750000,0.00650000,0.00630000,0.00500000,0.00070000,0.00550000,0.00520000,-0.00170000,0.00250000,0.00570000,0.00008791
1926-07-12,0.00048791,0.00270000,0.00780000,0.00190000,-0.01270000,0.00440000,0.00030000,0.00150000,0.00230000,0.00270000,0.00220000,-0.00620000,0.00410000,0.00008791
1926-07-13,0.00488791,-0.00460000,0.01920000,0.00640000,0.00370000,0.01140000,0.01760000,0.00030000,0.00200000,0.00320000,0.00570000,0.00910000,0.00250000,0.00008791
1926-07-14,0.00048791,-0.00360000,0.00650000,0.00320000,-0.00570000,0.00350000,0.01220000,-0.00010000,0.00520000,0.00250000,0.00090000,0.00280000,-0.00250000,0.00008791
1926-07-15,-0.00421209,0.00000000,-0.00740000,-0.00250000,-0.00110000,-0.00490000,-0.01420000,-0.00200000,-0.00380000,-0.00770000,-0.00450000,-0.00760000,-0.00580000,0.00008791
1926-07-16,0.00528791,0.00110000,0.02410000,0.00870000,0.00500000,0.01020000,0.00800000,0.00060000,0.00320000,0.00060000,0.00230000,-0.00080000,0.00070000,0.00008791
1926-07-17,0.00348791,0.00580000,0.01220000,0.00250000,0.00080000,0.00600000,0.01040000,-0.00160000,0.00240000,0.00750000,0.00380000,-0.00620000,0.00060000,0.00008791
1926-07-19,0.00008791,-0.00010000,0.00640000,0.00240000,-0.00400000,-0.00240000,0.00490000,-0.00010000,0.00290000,0.00330000,-0.00780000,-0.00440000,-0.00270000,0.00008791
1926-07-20,-0.00551209,-0.00450000,-0.00360000,-0.00720000,-0.00520000,-0.00930000,-0.01450000,0.00010000,0.00080000,-0.01470000,-0.00570000,-0.00180000,-0.00400000,0.00008791
1926-07-21,-0.00581209,-0.00560000,-0.00950000,-0.00400000,-0.01200000,-0.00720000,-0.01220000,-0.00050000,-0.00280000,-0.00120000,-0.00520000,0.00040000,-0.00350000,0.00008791
1926-07-22,-0.00721209,-0.00410000,-0.01020000,-0.01020000,-0.00700000,-0.00330000,-0.00920000,-0.00130000,-0.00400000,-0.01130000,-0.00680000,-0.00370000,-0.00790000,0.00008791
1926-07-23,-0.00011209,-0.00070000,-0.00340000,-0.00060000,0.00160000,-0.00540000,0.00250000,-0.00310000,0.00260000,-0.00050000,0.00530000,0.00390000,0.00090000,0.00008791
1926-07-24,-0.00141209,-0.00050000,-0.00440000,-0.00070000,-0.00080000,-0.00090000,-0.00770000,-0.00500000,-0.00150000,-0.00290000,-0.00330000,0.00260000,0.00150000,0.00008791
1926-07-26,0.00518791,0.00420000,0.01070000,0.00500000,0.00420000,0.01130000,0.00740000,0.00790000,-0.00040000,0.00320000,0.00440000,0.00080000,0.00460000,0.00008791
1926-07-27,0.00448791,0.00090000,0.00900000,0.00470000,0.00760000,0.00990000,0.00360000,0.00130000,0.00340000,0.00420000,-0.00130000,0.00360000,0.00300000,0.00008791
1926-07-28,0.01098791,0.00650000,0.02580000,0.01260000,0.01240000,0.01240000,0.01310000,0.00270000,0.01000000,0.01730000,0.00110000,0.00980000,0.00610000,0.00008791
1926-07-29,0.00368791,-0.00300000,0.03450000,0.00680000,-0.00140000,0.02250000,-0.00080000,-0.00080000,0.00510000,-0.00360000,0.00480000,-0.00290000,-0.00250000,0.00008791
1926-07-30,0.00178791,0.00250000,-0.00010000,0.00140000,-0.00330000,-0.00140000,0.00490000,-0.00250000,0.00860000,0.00170000,0.00100000,0.00270000,0.00540000,0.00008791
1926-07-31,0.00468791,-0.00050000,0.01240000,-0.00150000,0.00170000,0.00710000,0.00240000,-0.00320000,0.01650000,-0.00020000,0.00040000,-0.00490000,0.01170000,0.00008791
1926-08-02,0.00849604,0.00350000,0.03180000,0.00380000,0.01700000,0.01510000,-0.00270000,0.01180000,-0.00200000,0.00520000,0.00720000,0.00470000,0.00400000,0.00009604
1926-08-03,0.00499604,0.00710000,0.02820000,0.01310000,-0.00750000,0.02050000,-0.00030000,-0.00370000,-0.00290000,0.00660000,0.01060000,0.02920000,-0.00020000,0.00009604
1926-08-04,-0.00350396,-0.00260000,-0.02230000,-0.00190000,-0.00220000,-0.00620000,0.00960000,-0.00230000,0.00450000,-0.00010000,-0.00440000,-0.00200000,-0.00490000,0.00009604
1926-08-05,-0.00080396,0.00110000,-0.01160000,0.00050000,-0.00270000,-0.00420000,0.00220000,0.00380000,0.00750000,-0.00090000,-0.00080000,-0.00310000,-0.00090000,0.00009604
1926-08-06,0.00689604,0.00690000,0.01390000,0.00550000,0.00470000,0.01310000,-0.00110000,0.00100000,-0.00050000,0.00680000,0.00870000,-0.00190000,0.01190000,0.00009604
1926-08-07,0.00479604,0.00240000,0.02370000,0.00740000,-0.00060000,0.01680000,0.00310000,0.00200000,-0.00150000,0.00540000,-0.00040000,0.00390000,0.00090000,0.00009604
1926-08-09,0.00209604,0.00360000,0.01430000,0.00750000,-0.01320000,0.00860000,0.00580000,0.00070000,-0.00220000,0.00480000,0.00180000,-0.00460000,0.00300000,0.00009604
1926-08-10,-0.01390396,-0.00560000,-0.04250000,-0.01570000,-0.00640000,-0.03250000,-0.01520000,0.00090000,-0.01160000,-0.01390000,-0.01010000,-0.00870000,-0.01200000,0.00009604
1926-08-11,-0.00560396,-0.00200000,-0.01410000,-0.00700000,-0.00370000,-0.00810000,-0.00620000,-0.00070000,-0.00890000,0.00070000,0.00050000,-0.00090000,-0.00620000,0.00009604
1926-08-12,0.00849604,0.00320000,0.01110000,0.00600000,0.00450000,0.01160000,0.02070000,-0.00090000,0.00590000,0.00760000,-0.01020000,0.00080000,0.01640000,0.00009604
1926-08-13,0.00589604,0.00160000,0.00350000,0.00720000,0.00820000,0.01070000,0.02210000,0.00300000,-0.00110000,0.00000000,-0.00680000,0.00540000,0.00650000,0.00009604
1926-08-14,0.00689604,0.00480000,0.01120000,0.00600000,0.01090000,0.02450000,0.01410000,0.00230000,0.00580000,0.00780000,0.00580000,0.00550000,0.00030000,0.00009604
1926-08-16,0.00079604,-0.00070000,-0.00340000,0.00590000,-0.00090000,-0.00100000,-0.01250000,0.00520000,0.00020000,-0.00200000,0.01160000,0.00480000,0.00340000,0.00009604
1926-08-17,-0.00940396,-0.00280000,-0.02010000,-0.01000000,-0.01060000,-0.01820000,-0.01060000,0.00120000,-0.00720000,-0.01370000,-0.00190000,-0.00890000,-0.00810000,0.00009604
1926-08-18,0.00269604,-0.00140000,0.00920000,0.00050000,0.00310000,0.00000000,0.00390000,0.00200000,-0.00180000,-0.00090000,0.00790000,-0.00040000,0.00630000,0.00009604
1926-08-19,-0.00590396,-0.00660000,-0.01440000,-0.00790000,0.00080000,-0.00980000,-0.00680000,-0.00030000,-0.00420000,-0.00930000,-0.00100000,-0.00060000,-0.00610000,0.00009604
1926-08-20,-0.00190396,-0.00110000,0.00040000,-0.00510000,0.00040000,-0.00270000,-0.00340000,-0.00180000,-0.00240000,-0.00400000,-0.00040000,0.00010000,-0.00130000,0.00009604
1926-08-21,0.00319604,0.00240000,0.00350000,0.00660000,0.00340000,0.00310000,0.00460000,0.00000000,0.00180000,0.00210000,0.00710000,-0.00260000,0.00260000,0.00009604
1926-08-23,0.00479604,0.00170000,0.02460000,0.00170000,-0.00060000,0.01890000,0.00210000,-0.00100000,0.00040000,0.00490000,0.00270000,0.00270000,0.00590000,0.00009604
1926-08-24,-0.00830396,0.00030000,-0.01310000,-0.01090000,-0.00680000,-0.02050000,-0.01010000,-0.00170000,-0.00540000,-0.01850000,-0.00300000,0.00450000,-0.00760000,0.00009604
1926-08-25,-0.00300396,-0.00360000,-0.00270000,-0.00660000,-0.00160000,-0.00900000,-0.00540000,-0.00210000,-0.00300000,-0.00240000,0.00020000,0.00040000,-0.00040000,0.00009604
