ens,ko,kd,etf_dev_a,etf_dev_b,proxy_a,proxy_b,min
E126-252,4,5,12.64,0.02,10.17,0.71,0.02
E126-252,4,7,12.55,-0.02,9.98,1.41,-0.02
E126-252,4,9,12.39,-0.78,9.97,1.51,-0.78
E126-252,5,5,11.76,0.23,10.5,1.63,0.23
E126-252,5,7,11.68,0.19,10.3,2.34,0.19
E126-252,5,9,11.52,-0.57,10.29,2.44,-0.57
E126-252,6,5,11.57,0.06,10.11,2.18,0.06
E126-252,6,7,11.5,0.02,9.93,2.91,0.02
E126-252,6,9,11.34,-0.74,9.92,3.01,-0.74
E126-252,7,5,11.39,-0.42,9.85,2.18,-0.42
E126-252,7,7,11.32,-0.45,9.69,2.93,-0.45
E126-252,7,9,11.17,-1.2,9.68,3.03,-1.2
E147-231,4,5,12.83,1.07,10.42,0.58,0.58
E147-231,4,7,12.67,1.0,10.25,1.35,1.0
E147-231,4,9,12.51,0.21,10.29,1.44,0.21
E147-231,5,5,11.93,1.26,10.76,1.42,1.26
E147-231,5,7,11.77,1.18,10.58,2.2,1.18
E147-231,5,9,11.61,0.4,10.63,2.29,0.4
E147-231,6,5,11.69,0.87,10.35,1.98,0.87
E147-231,6,7,11.55,0.8,10.19,2.77,0.8
E147-231,6,9,11.39,0.02,10.24,2.87,0.02
E147-231,7,5,11.44,0.32,10.0,2.03,0.32
E147-231,7,7,11.3,0.26,9.85,2.83,0.26
E147-231,7,9,11.14,-0.51,9.9,2.93,-0.51
E126-294,4,5,12.63,-0.14,10.18,0.79,-0.14
E126-294,4,7,12.58,-0.23,9.95,1.46,-0.23
E126-294,4,9,12.41,-0.98,9.95,1.57,-0.98
E126-294,5,5,11.77,0.16,10.5,1.68,0.16
E126-294,5,7,11.73,0.07,10.28,2.36,0.07
E126-294,5,9,11.56,-0.69,10.28,2.47,-0.69
E126-294,6,5,11.61,0.07,10.15,2.2,0.07
E126-294,6,7,11.58,-0.01,9.94,2.9,-0.01
E126-294,6,9,11.41,-0.77,9.95,3.01,-0.77
E126-294,7,5,11.42,-0.35,9.89,2.21,-0.35
E126-294,7,7,11.39,-0.44,9.7,2.92,-0.44
E126-294,7,9,11.22,-1.18,9.7,3.03,-1.18
