L,ko,kd,etf_dev_a,etf_dev_b,proxy_a,proxy_b
126,4,5,11.299999999999999,-0.4500000000000002,9.969999999999999,0.21999999999999886
126,4,7,11.18,-0.3099999999999996,9.989999999999998,1.0199999999999996
126,4,9,11.219999999999999,-1.13,9.91,1.0
126,5,5,10.54,-0.41000000000000014,10.239999999999998,1.1499999999999986
126,5,7,10.42,-0.2699999999999996,10.27,1.9600000000000009
126,5,9,10.469999999999999,-1.0899999999999999,10.18,1.9299999999999997
126,6,5,10.35,-0.8200000000000003,9.689999999999998,1.6799999999999997
126,6,7,10.25,-0.6699999999999999,9.739999999999998,2.5199999999999996
126,6,9,10.29,-1.4900000000000002,9.66,2.5
126,7,5,10.299999999999999,-1.33,9.39,1.7199999999999989
126,7,7,10.219999999999999,-1.1600000000000001,9.469999999999999,2.5700000000000003
126,7,9,10.26,-1.9699999999999998,9.39,2.5500000000000007
168,4,5,12.54,-0.04999999999999982,10.57,0.9600000000000009
168,4,7,12.549999999999999,0.04999999999999982,10.419999999999998,1.9199999999999982
168,4,9,12.309999999999999,-0.6699999999999999,10.45,2.120000000000001
168,5,5,11.68,0.1299999999999999,11.0,1.6999999999999993
168,5,7,11.69,0.2400000000000002,10.849999999999998,2.669999999999998
168,5,9,11.45,-0.47999999999999954,10.879999999999999,2.870000000000001
168,6,5,11.43,-0.28000000000000025,10.55,2.16
168,6,7,11.459999999999999,-0.16999999999999993,10.41,3.16
168,6,9,11.219999999999999,-0.8799999999999999,10.439999999999998,3.3599999999999994
168,7,5,11.12,-0.7400000000000002,10.239999999999998,2.09
168,7,7,11.17,-0.6100000000000003,10.120000000000001,3.1099999999999994
168,7,9,10.94,-1.3200000000000003,10.149999999999999,3.3099999999999987
189,4,5,13.2,0.1900000000000004,10.259999999999998,0.4499999999999993
189,4,7,13.37,0.25,10.169999999999998,1.2800000000000011
189,4,9,13.209999999999999,-0.3600000000000003,10.259999999999998,1.4399999999999977
189,5,5,12.139999999999999,0.28000000000000025,10.64,1.2800000000000011
189,5,7,12.319999999999999,0.33999999999999986,10.54,2.1099999999999994
189,5,9,12.16,-0.2699999999999996,10.64,2.2699999999999996
189,6,5,11.75,-0.20999999999999996,10.21,1.8399999999999999
189,6,7,11.94,-0.1299999999999999,10.14,2.6899999999999977
189,6,9,11.78,-0.7299999999999995,10.23,2.8599999999999994
189,7,5,11.45,-0.8499999999999996,9.84,1.8299999999999983
189,7,7,11.639999999999999,-0.7599999999999998,9.79,2.6999999999999993
189,7,9,11.489999999999998,-1.3499999999999996,9.89,2.870000000000001
210,4,5,13.29,1.1500000000000004,9.870000000000001,0.8000000000000007
210,4,7,13.19,0.9699999999999998,9.599999999999998,1.379999999999999
210,4,9,13.09,0.07000000000000028,9.529999999999998,1.5999999999999979
210,5,5,12.379999999999999,1.2999999999999998,10.2,1.7399999999999984
210,5,7,12.27,1.12,9.919999999999998,2.3299999999999983
210,5,9,12.17,0.23000000000000043,9.849999999999998,2.5599999999999987
210,6,5,12.25,1.17,9.93,2.3299999999999983
210,6,7,12.149999999999999,1.0,9.669999999999998,2.9399999999999977
210,6,9,12.049999999999999,0.11000000000000032,9.599999999999998,3.16
210,7,5,11.979999999999999,0.6299999999999999,9.739999999999998,2.3599999999999994
210,7,7,11.889999999999999,0.46999999999999975,9.489999999999998,2.9800000000000004
210,7,9,11.79,-0.41999999999999993,9.43,3.210000000000001
231,4,5,13.25,0.9900000000000002,10.52,0.5999999999999979
231,4,7,13.149999999999999,0.8200000000000003,10.25,1.0500000000000007
231,4,9,12.879999999999999,-0.019999999999999574,10.32,1.1099999999999994
231,5,5,12.37,1.29,10.669999999999998,1.5799999999999983
231,5,7,12.27,1.13,10.39,2.030000000000001
231,5,9,12.0,0.28000000000000025,10.469999999999999,2.099999999999998
231,6,5,12.229999999999999,1.17,10.399999999999999,2.169999999999998
231,6,7,12.139999999999999,1.0099999999999998,10.129999999999999,2.629999999999999
231,6,9,11.87,0.16999999999999993,10.21,2.6999999999999993
231,7,5,12.01,0.6200000000000001,10.07,2.289999999999999
231,7,7,11.93,0.46999999999999975,9.809999999999999,2.7699999999999996
231,7,9,11.66,-0.3700000000000001,9.89,2.8299999999999983
252,4,5,13.33,-0.8300000000000001,10.120000000000001,0.7199999999999989
252,4,7,13.18,-1.04,9.759999999999998,1.2100000000000009
252,4,9,12.85,-1.62,9.829999999999998,1.1999999999999993
252,5,5,12.399999999999999,-0.33999999999999986,10.41,1.8200000000000003
252,5,7,12.25,-0.5499999999999998,10.05,2.3099999999999987
252,5,9,11.93,-1.1399999999999997,10.120000000000001,2.3000000000000007
252,6,5,12.209999999999999,-0.05999999999999961,10.14,2.4399999999999977
252,6,7,12.069999999999999,-0.2699999999999996,9.79,2.9399999999999977
252,6,9,11.75,-0.8600000000000003,9.870000000000001,2.9399999999999977
252,7,5,12.11,-0.4500000000000002,9.899999999999999,2.4499999999999993
252,7,7,11.969999999999999,-0.6600000000000001,9.579999999999998,2.9800000000000004
252,7,9,11.649999999999999,-1.2400000000000002,9.649999999999999,2.969999999999999
