rho,exp,days,mny,K,bid,ask,mid,model,iv_chain,iv_model,model/mid,spread/mid
-0.5,2026-10-16,24,-0.446,4300.0,0.05,0.25,0.15,0.010387030825216961,0.7227,0.5986334747598043,0.06924687216811308,1.3333333333333335
-0.5,2026-10-16,24,-0.433,4400.0,0.05,0.25,0.15,0.014351943237101131,0.6962,0.5870813779863241,0.09567962158067421,1.3333333333333335
-0.5,2026-10-16,24,-0.42,4500.0,0.05,0.25,0.15,0.019695548785473097,0.6702,0.5755648926899617,0.13130365856982065,1.3333333333333335
-0.5,2026-10-16,24,-0.408,4600.0,0.1,0.3,0.2,0.026853525694999568,0.6591,0.5640742074271928,0.13426762847499782,0.9999999999999999
-0.5,2026-10-16,24,-0.395,4700.0,0.1,0.3,0.2,0.03638645697576642,0.6337,0.5525994805960106,0.18193228487883206,0.9999999999999999
-0.5,2026-10-16,24,-0.382,4800.0,0.15,0.35,0.25,0.049012313370602203,0.6196,0.5411307731451508,0.19604925348240881,0.7999999999999999
-0.5,2026-10-16,24,-0.369,4900.0,0.2,0.4,0.30000000000000004,0.06564662539981952,0.6038,0.5296579778937917,0.21882208466606504,0.6666666666666666
-0.5,2026-10-16,24,-0.356,5000.0,0.2,0.45,0.325,0.08745201887566016,0.583,0.5181707439941206,0.26908313500203124,0.7692307692307692
-0.5,2026-10-16,24,-0.343,5100.0,0.25,0.5,0.375,0.11589913186590896,0.5655,0.5066583948481331,0.3090643516424239,0.6666666666666666
-0.5,2026-10-16,24,-0.33,5200.0,0.35,0.55,0.45,0.15284134421189804,0.5501,0.4951098374894207,0.3396474315819957,0.4444444444444446
-0.5,2026-10-16,24,-0.317,5300.0,0.4,0.6,0.5,0.20060624814816624,0.5312,0.4835134610380933,0.4012124962963325,0.3999999999999999
-0.5,2026-10-16,24,-0.305,5400.0,0.45,0.7,0.575,0.26210738864766037,0.5137,0.4718570213008576,0.4558389367785398,0.4347826086956521
-0.5,2026-10-16,24,-0.292,5500.0,0.55,0.8,0.675,0.34098052760586006,0.4974,0.46012750787428114,0.5051563371938668,0.37037037037037035
-0.5,2026-10-16,24,-0.279,5600.0,0.65,0.9,0.775,0.44174956535032256,0.4802,0.4483109891545837,0.5699994391617065,0.3225806451612903
-0.5,2026-10-16,24,-0.266,5700.0,0.75,1.0,0.875,0.5700283219580804,0.4621,0.4363924293719616,0.6514609393806633,0.2857142857142857
-0.5,2026-10-16,24,-0.253,5800.0,0.9,1.15,1.025,0.7327656845235315,0.4458,0.42435547002117424,0.714893350754665,0.24390243902439016
