days,mny,bid,ask,mid,model,sa_T,model/mid,spread/mid,mb,tb
24,-0.44620742949824543,0.05,0.25,0.15,0.1086009226379482,0.1038300265361162,0.7240061509196547,1.3333333333333335,35-46%,~1m
24,-0.4333285325098326,0.05,0.25,0.15,0.12287476910749133,0.1038300265361162,0.8191651273832755,1.3333333333333335,35-46%,~1m
24,-0.4204496355214197,0.05,0.25,0.15,0.139148260272624,0.1038300265361162,0.92765506848416,1.3333333333333335,35-46%,~1m
24,-0.40757073853300685,0.1,0.3,0.2,0.15773898381192814,0.1038300265361162,0.7886949190596406,0.9999999999999999,35-46%,~1m
24,-0.3946918415445939,0.1,0.3,0.2,0.1790230598861775,0.1038300265361162,0.8951152994308875,0.9999999999999999,35-46%,~1m
24,-0.381812944556181,0.15,0.35,0.25,0.20344764703224033,0.1038300265361162,0.8137905881289613,0.7999999999999999,35-46%,~1m
24,-0.36893404756776815,0.2,0.4,0.30000000000000004,0.23154652073350196,0.1038300265361162,0.7718217357783398,0.6666666666666666,35-46%,~1m
24,-0.3560551505793552,0.2,0.45,0.325,0.2639595850612024,0.1038300265361162,0.8121833386498535,0.7692307692307692,35-46%,~1m
24,-0.3431762535909423,0.25,0.5,0.375,0.30145745008269953,0.1038300265361162,0.8038865335538654,0.6666666666666666,25-35%,~1m
24,-0.33029735660252946,0.35,0.55,0.45,0.3449725767285672,0.1038300265361162,0.7666057260634827,0.4444444444444446,25-35%,~1m
24,-0.3174184596141165,0.4,0.6,0.5,0.39563899478991543,0.1038300265361162,0.7912779895798309,0.3999999999999999,25-35%,~1m
24,-0.3045395626257036,0.45,0.7,0.575,0.454843293774218,0.1038300265361162,0.7910318152595096,0.4347826086956521,25-35%,~1m
24,-0.29166066563729076,0.55,0.8,0.675,0.5242905505375621,0.1038300265361162,0.7767267415371291,0.37037037037037035,25-35%,~1m
24,-0.2787817686488778,0.65,0.9,0.775,0.6060902094319182,0.1038300265361162,0.7820518831379589,0.3225806451612903,25-35%,~1m
24,-0.265902871660465,0.75,1.0,0.875,0.7028688444553373,0.1038300265361162,0.8032786793775283,0.2857142857142857,25-35%,~1m
24,-0.25302397467205207,0.9,1.15,1.025,0.8179194700353788,0.1038300265361162,0.7979702146686624,0.24390243902439016,25-35%,~1m
24,-0.24014507768363913,1.05,1.3,1.175,0.9554010244967903,0.1038300265361162,0.8131072548908853,0.2127659574468085,15-25%,~1m
24,-0.2272661806952263,1.2,1.45,1.325,1.1206074379182311,0.1038300265361162,0.8457414625797971,0.18867924528301888,15-25%,~1m
24,-0.21438728370681337,1.35,1.65,1.5,1.320334263778471,0.1038300265361162,0.8802228425189806,0.19999999999999987,15-25%,~1m
24,-0.20150838671840043,1.55,1.85,1.7000000000000002,1.5633837010735832,0.1038300265361162,0.9196374712197547,0.17647058823529413,15-25%,~1m
24,-0.1886294897299876,1.75,2.05,1.9,1.8612683626098807,0.1038300265361162,0.9796149276894109,0.15789473684210517,15-25%,~1m
24,-0.17575059274157467,2.0,2.3,2.15,2.2292042632211553,0.1038300265361162,1.0368391921958862,0.13953488372093015,15-25%,~1m
24,-0.16287169575316174,2.3,2.6,2.45,2.687530666755963,0.1038300265361162,1.0969512925534541,0.12244897959183683,15-25%,~1m
24,-0.1499927987647489,2.65,3.0,2.825,3.2637694962105637,0.1038300265361162,1.1553166358267482,0.12389380530973454,4-15%,~1m
24,-0.13711390177633598,3.0,3.4,3.2,3.9956585340284403,0.1038300265361162,1.2486432918838875,0.12499999999999997,4-15%,~1m
24,-0.12423500478792304,3.6,4.0,3.8,4.935692905123785,0.1038300265361162,1.2988665539799435,0.10526315789473682,4-15%,~1m
24,-0.11135610779951022,4.2,4.7,4.45,6.158045486764549,0.1038300265361162,1.3838304464639435,0.11235955056179775,4-15%,~1m
24,-0.09847721081109728,5.1,5.6,5.35,7.769311669303509,0.1038300265361162,1.4522077886548614,0.09345794392523366,4-15%,~1m
24,-0.08559831382268446,6.3,6.8,6.55,9.925524274111472,0.1038300265361162,1.515347217421599,0.07633587786259542,4-15%,~1m
24,-0.07271941683427152,8.0,8.6,8.3,12.85965184136837,0.1038300265361162,1.5493556435383578,0.07228915662650598,4-15%,~1m
24,-0.059840519845858586,10.6,11.3,10.95,16.926940054134228,0.1038300265361162,1.5458392743501579,0.06392694063926951,4-15%,~1m
24,-0.04696162285744576,14.8,15.4,15.100000000000001,22.680990904161522,0.1038300265361162,1.502052377759041,0.03973509933774832,4-15%,~1m
59,-0.45908632648665837,0.8,1.05,0.925,0.8934343567121356,0.1210051982421094,0.9658749802293357,0.27027027027027023,35-46%,~2m
59,-0.44620742949824543,0.9,1.2,1.05,0.9975685058820661,0.1210051982421094,0.9500652436972058,0.28571428571428564,35-46%,~2m
59,-0.4333285325098326,1.05,1.3,1.175,1.1142800991887822,0.1210051982421094,0.948323488671304,0.2127659574468085,35-46%,~2m
59,-0.4204496355214197,1.15,1.45,1.2999999999999998,1.2452573310758281,0.1210051982421094,0.9578902546737141,0.23076923076923084,35-46%,~2m
59,-0.40757073853300685,1.35,1.65,1.5,1.3924473025895403,0.1210051982421094,0.9282982017263602,0.19999999999999987,35-46%,~2m
59,-0.3946918415445939,1.5,1.8,1.65,1.558101389698157,0.1210051982421094,0.9443038725443377,0.18181818181818185,35-46%,~2m
59,-0.381812944556181,1.7,2.0,1.85,1.7448296265974494,0.1210051982421094,0.9431511495121347,0.16216216216216217,35-46%,~2m
59,-0.36893404756776815,1.95,2.25,2.1,1.9556661171503806,0.1210051982421094,0.9312695795954193,0.14285714285714288,35-46%,~2m
59,-0.3560551505793552,2.15,2.5,2.325,2.194147988423639,0.1210051982421094,0.943719564913393,0.15053763440860218,35-46%,~2m
59,-0.3431762535909423,2.45,2.8,2.625,2.4644110387491334,0.1210051982421094,0.9388232528568127,0.1333333333333332,25-35%,~2m
59,-0.33029735660252946,2.75,3.1,2.925,2.7713060503207143,0.1210051982421094,0.9474550599387058,0.11965811965811969,25-35%,~2m
59,-0.3174184596141165,3.1,3.5,3.3,3.12054078809731,0.1210051982421094,0.9456184206355486,0.12121212121212119,25-35%,~2m
59,-0.3045395626257036,3.4,3.9,3.65,3.5188540661537266,0.1210051982421094,0.9640696071654046,0.136986301369863,25-35%,~2m
59,-0.29166066563729076,3.8,4.3,4.05,3.974230028031559,0.1210051982421094,0.981291364946064,0.1234567901234568,25-35%,~2m
59,-0.2787817686488778,4.3,4.8,4.55,4.49616309163869,0.1210051982421094,0.9881677124480637,0.10989010989010989,25-35%,~2m
59,-0.265902871660465,4.8,5.3,5.05,5.095987031151782,0.1210051982421094,1.009106342802333,0.09900990099009901,25-35%,~2m
59,-0.25302397467205207,5.4,5.9,5.65,5.787285651879736,0.1210051982421094,1.02429834546544,0.08849557522123894,25-35%,~2m
59,-0.24014507768363913,6.0,6.5,6.25,6.586407791770697,0.1210051982421094,1.0538252466833116,0.08,15-25%,~2m
59,-0.2272661806952263,6.8,7.3,7.05,7.513116410798192,0.1210051982421094,1.0656902710352045,0.07092198581560284,15-25%,~2m
59,-0.21438728370681337,7.6,8.1,7.85,8.591410933080551,0.1210051982421094,1.0944472526217264,0.06369426751592357,15-25%,~2m
59,-0.20150838671840043,8.5,9.1,8.8,9.850574648607298,0.1210051982421094,1.1193834827962836,0.06818181818181814,15-25%,~2m
59,-0.1886294897299876,9.6,10.2,9.899999999999999,11.32651605018692,0.1210051982421094,1.1440925303219112,0.06060606060606058,15-25%,~2m
59,-0.17575059274157467,10.8,11.4,11.100000000000001,13.063496110918974,0.1210051982421094,1.1768915415242318,0.054054054054054015,15-25%,~2m
59,-0.16287169575316174,12.3,12.9,12.600000000000001,15.116364932157154,0.1210051982421094,1.199711502552155,0.04761904761904759,15-25%,~2m
59,-0.1499927987647489,14.0,14.7,14.35,17.553473926553696,0.1210051982421094,1.2232386011535676,0.048780487804878,4-15%,~2m
59,-0.13711390177633598,16.1,16.8,16.450000000000003,20.460487711168074,0.1210051982421094,1.2437986450558098,0.04255319148936165,4-15%,~2m
59,-0.12423500478792304,18.6,19.3,18.950000000000003,23.945398122894897,0.1210051982421094,1.2636093996250604,0.036939313984168824,4-15%,~2m
