days,mny,bid,ask,mid,model,model/mid,mb,tb
24,-0.44620742949824543,0.05,0.25,0.15,0.02657758815664332,0.1771839210442888,35-46%,~1m
24,-0.4333285325098326,0.05,0.25,0.15,0.03943542700353915,0.26290284669026104,35-46%,~1m
24,-0.4204496355214197,0.05,0.25,0.15,0.05763027347878328,0.38420182319188856,35-46%,~1m
24,-0.40757073853300685,0.1,0.3,0.2,0.0828220933216959,0.4141104666084795,35-46%,~1m
24,-0.3946918415445939,0.1,0.3,0.2,0.11695722781332245,0.5847861390666123,35-46%,~1m
24,-0.381812944556181,0.15,0.35,0.25,0.16224932024003166,0.6489972809601267,35-46%,~1m
24,-0.36893404756776815,0.2,0.4,0.30000000000000004,0.2211418039911582,0.7371393466371939,35-46%,~1m
24,-0.3560551505793552,0.2,0.45,0.325,0.2962528583940358,0.9115472565970333,35-46%,~1m
24,-0.3431762535909423,0.25,0.5,0.375,0.3903053886237716,1.040814369663391,25-35%,~1m
24,-0.33029735660252946,0.35,0.55,0.45,0.5060459913605505,1.12454664746789,25-35%,~1m
24,-0.3174184596141165,0.4,0.6,0.5,0.6461578647803975,1.292315729560795,25-35%,~1m
24,-0.3045395626257036,0.45,0.7,0.575,0.8131731109957022,1.4142141060794822,25-35%,~1m
24,-0.29166066563729076,0.55,0.8,0.675,1.0093898352111843,1.4953923484610137,25-35%,~1m
24,-0.2787817686488778,0.65,0.9,0.775,1.236798911313056,1.5958695629845883,25-35%,~1m
24,-0.265902871660465,0.75,1.0,0.875,1.4970243555208604,1.7108849777381263,25-35%,~1m
24,-0.25302397467205207,0.9,1.15,1.025,1.7912800596067564,1.7475903020553722,25-35%,~1m
24,-0.24014507768363913,1.05,1.3,1.175,2.1203443271233082,1.8045483635091983,15-25%,~1m
24,-0.2272661806952263,1.2,1.45,1.325,2.484552367036383,1.8751338619142512,15-25%,~1m
24,-0.21438728370681337,1.35,1.65,1.5,2.8838057437875104,1.922537162525007,15-25%,~1m
24,-0.20150838671840043,1.55,1.85,1.7000000000000002,3.3175968440935124,1.9515275553491247,15-25%,~1m
24,-0.1886294897299876,1.75,2.05,1.9,3.785045746541759,1.9921293402851363,15-25%,~1m
24,-0.17575059274157467,2.0,2.3,2.15,4.284946484414244,1.9929983648438347,15-25%,~1m
24,-0.16287169575316174,2.3,2.6,2.45,4.815819560945215,1.9656406371204957,15-25%,~1m
24,-0.1499927987647489,2.65,3.0,2.825,5.375967677979697,1.902997408134406,4-15%,~1m
24,-0.13711390177633598,3.0,3.4,3.2,5.96353205884217,1.863603768388178,4-15%,~1m
24,-0.12423500478792304,3.6,4.0,3.8,6.576550401269723,1.7306711582288747,4-15%,~1m
24,-0.11135610779951022,4.2,4.7,4.45,7.2130689348765955,1.6209143673879989,4-15%,~1m
24,-0.09847721081109728,5.1,5.6,5.35,7.871908618410941,1.4713847884880265,4-15%,~1m
24,-0.08559831382268446,6.3,6.8,6.55,8.558669380940538,1.3066670810596241,4-15%,~1m
24,-0.07271941683427152,8.0,8.6,8.3,9.320673172584353,1.1229726713957051,4-15%,~1m
24,-0.059840519845858586,10.6,11.3,10.95,10.390328951886374,0.9488884887567466,4-15%,~1m
24,-0.04696162285744576,14.8,15.4,15.100000000000001,12.587487285772959,0.8336084295213879,4-15%,~1m
