window,series,start,cagr,maxdd,vol
DEV 1990-2007,SP500TR,1990-01-02,0.1044,-0.4741,0.1581
DEV 1990-2007,SPY_TR,1990-01-02,0.1027,-0.4752,0.1637
DEV 1990-2007,PPUT,1990-01-02,0.0649,-0.3855,0.1295
DEV 1990-2007,barbell_base (model),1990-01-02,0.1003,-0.4696,0.1610
DEV 1990-2007,canon_base (model),1990-01-02,0.0864,-0.4658,0.1536
TEST 2008-2026,SP500TR,2008-01-02,0.1149,-0.5183,0.1984
TEST 2008-2026,SPY_TR,2008-01-02,0.1137,-0.5187,0.1974
TEST 2008-2026,PPUT,2008-01-02,0.0881,-0.3580,0.1379
TEST 2008-2026,VXTH,2008-01-02,0.1005,-0.3840,0.1674
TEST 2008-2026,barbell_base (model),2008-01-02,0.1117,-0.5143,0.1945
TEST 2008-2026,canon_base (model),2008-01-02,0.1043,-0.5040,0.1857
VXTH life 2006-04..2026,SP500TR,2006-03-31,0.1123,-0.5525,0.1939
VXTH life 2006-04..2026,SPY_TR,2006-03-31,0.1112,-0.5519,0.1929
VXTH life 2006-04..2026,PPUT,2006-03-31,0.0836,-0.4196,0.1361
VXTH life 2006-04..2026,VXTH,2006-03-31,0.0995,-0.4330,0.1645
CLL life 2008-09..2026,SP500TR,2008-08-26,0.1264,-0.4715,0.1978
CLL life 2008-09..2026,SPY_TR,2008-08-26,0.1254,-0.4695,0.1971
CLL life 2008-09..2026,PPUT,2008-08-26,0.1001,-0.2731,0.1369
CLL life 2008-09..2026,VXTH,2008-08-26,0.1156,-0.3116,0.1667
CLL life 2008-09..2026,CLL,2008-08-26,0.0697,-0.2629,0.1291
