,SP500TR,SPY_TR,PPUT,VXTH,CLL,VXTH-SP500TR,PPUT-SP500TR
2006,,,,,,,
2007,0.0549,0.0515,-0.0048,0.0831,,0.0282,-0.0597
2008,-0.3700,-0.3680,-0.2011,-0.1934,,0.1766,0.1689
2009,0.2646,0.2635,0.0871,0.1602,-0.0282,-0.1045,-0.1775
2010,0.1506,0.1506,0.1171,0.2110,0.0412,0.0603,-0.0335
2011,0.0211,0.0190,-0.0144,0.0592,-0.0884,0.0381,-0.0355
2012,0.1600,0.1599,0.1000,0.0361,0.0679,-0.1239,-0.0600
2013,0.3239,0.3231,0.2706,0.1943,0.2367,-0.1296,-0.0533
2014,0.1369,0.1346,0.1116,0.1582,0.0932,0.0213,-0.0253
2015,0.0138,0.0123,-0.0514,-0.0553,-0.0398,-0.0692,-0.0652
2016,0.1196,0.1200,0.0833,0.0102,0.0416,-0.1094,-0.0363
2017,0.2183,0.2171,0.1857,0.2184,0.1671,0.0001,-0.0327
2018,-0.0438,-0.0457,-0.0365,-0.0819,0.0321,-0.0380,0.0073
2019,0.3149,0.3122,0.2529,0.1866,0.2531,-0.1282,-0.0620
2020,0.1840,0.1833,0.2908,1.1381,0.1797,0.9541,0.1068
2021,0.2871,0.2873,0.1833,0.1384,0.1767,-0.1486,-0.1037
2022,-0.1811,-0.1818,-0.1981,-0.2606,-0.1505,-0.0795,-0.0169
2023,0.2629,0.2618,0.1917,0.1284,0.1825,-0.1345,-0.0712
2024,0.2502,0.2489,0.2052,0.1654,0.2051,-0.0848,-0.0450
2025,0.1788,0.1772,0.1433,0.0963,0.0840,-0.0825,-0.0355
2026,0.1440,0.1430,0.0928,0.0469,0.0864,-0.0971,-0.0512
