depth,tenor,hold,monet,budget,dev_base_exc,dev_base_cagr,dev_base_maxdd,dev_x2_exc,dev_ssvi_exc,test_base_exc,test_base_cagr,test_base_maxdd,test_base_exc_excl_08_20,test_x2_exc,test_ssvi_exc
0.20000,2,1,0,0.01000,-0.00526,0.09741,-0.47552,-0.00554,-0.00548,-0.00385,0.10986,-0.51611,-0.00495,-0.00421,-0.00415
0.20000,2,1,0,0.03300,-0.01729,0.08538,-0.47639,-0.01820,-0.01800,-0.01271,0.10101,-0.51005,-0.01627,-0.01386,-0.01367
0.20000,2,1,5,0.01000,-0.00421,0.09847,-0.46973,-0.00454,-0.00427,-0.00257,0.11115,-0.51404,-0.00374,-0.00298,-0.00320
0.20000,2,1,5,0.03300,-0.01387,0.08880,-0.45725,-0.01494,-0.01409,-0.00854,0.10518,-0.50319,-0.01236,-0.00989,-0.01061
0.20000,2,1,20,0.01000,-0.00526,0.09741,-0.47552,-0.00554,-0.00548,-0.00385,0.10986,-0.51611,-0.00495,-0.00421,-0.00415
0.20000,2,1,20,0.03300,-0.01729,0.08538,-0.47639,-0.01820,-0.01800,-0.01271,0.10101,-0.51005,-0.01627,-0.01386,-0.01367
0.20000,2,2,0,0.01000,-0.00897,0.09370,-0.47806,-0.00907,-0.00908,-0.00579,0.10793,-0.50520,-0.00958,-0.00604,-0.00638
0.20000,2,2,0,0.03300,-0.02939,0.07328,-0.48478,-0.02970,-0.02976,-0.01936,0.09435,-0.47422,-0.03137,-0.02016,-0.02122
0.20000,2,2,5,0.01000,-0.00622,0.09645,-0.46061,-0.00645,-0.00604,-0.00525,0.10847,-0.51443,-0.00649,-0.00545,-0.00613
0.20000,2,2,5,0.03300,-0.02058,0.08210,-0.42668,-0.02131,-0.01999,-0.01740,0.09632,-0.50456,-0.02146,-0.01804,-0.02027
0.20000,2,2,20,0.01000,-0.00897,0.09370,-0.47806,-0.00907,-0.00908,-0.00530,0.10841,-0.49572,-0.00958,-0.00558,-0.00570
0.20000,2,2,20,0.03300,-0.02939,0.07328,-0.48478,-0.02970,-0.02976,-0.01799,0.09572,-0.44313,-0.03137,-0.01885,-0.01927
0.20000,4,1,0,0.01000,-0.00285,0.09982,-0.47330,-0.00324,-0.00295,-0.00227,0.11145,-0.51606,-0.00315,-0.00270,-0.00242
0.20000,4,1,0,0.03300,-0.00938,0.09329,-0.46903,-0.01068,-0.00973,-0.00749,0.10622,-0.50989,-0.01038,-0.00890,-0.00800
0.20000,4,1,5,0.01000,-0.00277,0.09991,-0.47260,-0.00317,-0.00273,-0.00207,0.11164,-0.51652,-0.00268,-0.00251,-0.00206
0.20000,4,1,5,0.03300,-0.00912,0.09355,-0.46671,-0.01043,-0.00899,-0.00685,0.10686,-0.51141,-0.00884,-0.00829,-0.00683
0.20000,4,1,20,0.01000,-0.00285,0.09982,-0.47330,-0.00324,-0.00295,-0.00227,0.11145,-0.51606,-0.00315,-0.00270,-0.00242
0.20000,4,1,20,0.03300,-0.00938,0.09329,-0.46903,-0.01068,-0.00973,-0.00749,0.10622,-0.50989,-0.01038,-0.00890,-0.00800
0.20000,4,4,0,0.01000,-0.00909,0.09358,-0.47221,-0.00918,-0.00919,-0.00682,0.10690,-0.49571,-0.01071,-0.00702,-0.00711
0.20000,4,4,0,0.03300,-0.02985,0.07282,-0.46595,-0.03014,-0.03017,-0.02289,0.09082,-0.44258,-0.03508,-0.02351,-0.02380
0.20000,4,4,5,0.01000,-0.00633,0.09635,-0.45746,-0.00655,-0.00598,-0.00525,0.10846,-0.50706,-0.00813,-0.00599,-0.00632
0.20000,4,4,5,0.03300,-0.02100,0.08167,-0.41601,-0.02171,-0.01989,-0.01758,0.09613,-0.48009,-0.02678,-0.01993,-0.02103
0.20000,4,4,20,0.01000,-0.00861,0.09407,-0.46804,-0.00872,-0.00874,-0.00404,0.10968,-0.48814,-0.01045,-0.00454,-0.00326
0.20000,4,4,20,0.03300,-0.02835,0.07432,-0.45248,-0.02870,-0.02877,-0.01442,0.09929,-0.41757,-0.03433,-0.01592,-0.01216
0.30000,2,1,0,0.01000,-0.00585,0.09682,-0.47700,-0.00610,-0.00621,-0.00423,0.10949,-0.51578,-0.00545,-0.00456,-0.00437
0.30000,2,1,0,0.03300,-0.01920,0.08347,-0.48126,-0.02002,-0.02039,-0.01394,0.09977,-0.50898,-0.01793,-0.01503,-0.01444
0.30000,2,1,5,0.01000,-0.00471,0.09796,-0.47092,-0.00507,-0.00446,-0.00263,0.11108,-0.51442,-0.00384,-0.00304,-0.00261
0.30000,2,1,5,0.03300,-0.01552,0.08716,-0.46121,-0.01670,-0.01472,-0.00879,0.10492,-0.50452,-0.01275,-0.01013,-0.00880
0.30000,2,1,20,0.01000,-0.00585,0.09682,-0.47700,-0.00610,-0.00621,-0.00384,0.10987,-0.51578,-0.00501,-0.00456,-0.00350
0.30000,2,1,20,0.03300,-0.01920,0.08347,-0.48126,-0.02002,-0.02039,-0.01271,0.10100,-0.50898,-0.01652,-0.01503,-0.01168
0.30000,2,2,0,0.01000,-0.00991,0.09276,-0.48283,-0.00996,-0.01002,-0.00659,0.10712,-0.50494,-0.01022,-0.00681,-0.00668
0.30000,2,2,0,0.03300,-0.03244,0.07024,-0.50014,-0.03260,-0.03279,-0.02196,0.09176,-0.47367,-0.03345,-0.02263,-0.02231
0.30000,2,2,5,0.01000,-0.00576,0.09691,-0.45745,-0.00610,-0.00534,-0.00536,0.10835,-0.51571,-0.00665,-0.00564,-0.00481
0.30000,2,2,5,0.03300,-0.01910,0.08357,-0.41592,-0.02019,-0.01773,-0.01782,0.09589,-0.50888,-0.02199,-0.01871,-0.01611
0.30000,2,2,20,0.01000,-0.00991,0.09276,-0.48283,-0.00996,-0.00869,-0.00411,0.10960,-0.49423,-0.00877,-0.00530,-0.00344
0.30000,2,2,20,0.03300,-0.03244,0.07024,-0.50014,-0.03260,-0.02859,-0.01429,0.09942,-0.43863,-0.02883,-0.01806,-0.01215
0.30000,4,1,0,0.01000,-0.00313,0.09954,-0.47357,-0.00352,-0.00328,-0.00239,0.11132,-0.51548,-0.00345,-0.00282,-0.00261
0.30000,4,1,0,0.03300,-0.01033,0.09235,-0.46994,-0.01158,-0.01079,-0.00791,0.10580,-0.50795,-0.01137,-0.00930,-0.00863
0.30000,4,1,5,0.01000,-0.00223,0.10044,-0.46897,-0.00266,-0.00231,-0.00189,0.11183,-0.51412,-0.00285,-0.00234,-0.00211
0.30000,4,1,5,0.03300,-0.00738,0.09529,-0.45462,-0.00878,-0.00764,-0.00626,0.10745,-0.50345,-0.00942,-0.00773,-0.00700
0.30000,4,1,20,0.01000,-0.00313,0.09954,-0.47357,-0.00352,-0.00328,-0.00239,0.11132,-0.51548,-0.00345,-0.00282,-0.00261
0.30000,4,1,20,0.03300,-0.01033,0.09235,-0.46994,-0.01158,-0.01079,-0.00791,0.10580,-0.50795,-0.01137,-0.00930,-0.00863
0.30000,4,4,0,0.01000,-0.01020,0.09248,-0.47994,-0.01023,-0.01026,-0.00747,0.10625,-0.49796,-0.01125,-0.00764,-0.00760
0.30000,4,4,0,0.03300,-0.03342,0.06925,-0.49101,-0.03353,-0.03361,-0.02499,0.08873,-0.45048,-0.03676,-0.02551,-0.02542
0.30000,4,4,5,0.01000,-0.00476,0.09792,-0.44866,-0.00481,-0.00450,-0.00514,0.10857,-0.50612,-0.00875,-0.00543,-0.00583
0.30000,4,4,5,0.03300,-0.01602,0.08665,-0.38545,-0.01617,-0.01515,-0.01729,0.09642,-0.47713,-0.02877,-0.01819,-0.01949
0.30000,4,4,20,0.01000,-0.00971,0.09297,-0.47575,-0.00977,-0.00975,-0.00290,0.11082,-0.47671,-0.01098,-0.00505,-0.00298
0.30000,4,4,20,0.03300,-0.03186,0.07081,-0.47764,-0.03205,-0.03200,-0.01137,0.10234,-0.38048,-0.03597,-0.01752,-0.01172
