period,depth,tenor,budget,mode,cagr,excess,maxdd,excl_2008_2020_excess
dev,0.20000,2,0.03300,month,0.12655,0.02388,-0.41379,
dev,0.20000,2,0.03300,life,0.14042,0.03775,-0.31721,
dev,0.20000,4,0.03300,month,0.12198,0.01931,-0.42865,
dev,0.20000,4,0.03300,life,0.14802,0.04534,-0.23998,
dev,0.30000,2,0.03300,month,0.13090,0.02823,-0.40232,
dev,0.30000,2,0.03300,life,0.14495,0.04228,-0.29683,
dev,0.30000,4,0.03300,month,0.12595,0.02328,-0.41901,
dev,0.30000,4,0.03300,life,0.15448,0.05181,-0.22592,
test,0.20000,2,0.03300,month,0.14242,0.02871,-0.47405,0.02266
test,0.20000,2,0.03300,life,0.18767,0.07396,-0.31406,0.03508
test,0.20000,4,0.03300,month,0.13214,0.01843,-0.48764,0.01429
test,0.20000,4,0.03300,life,0.18332,0.06961,-0.28803,0.03023
test,0.30000,2,0.03300,month,0.14711,0.03340,-0.45518,0.02537
test,0.30000,2,0.03300,life,0.19684,0.08312,-0.26427,0.03748
test,0.30000,4,0.03300,month,0.13477,0.02105,-0.47883,0.01564
test,0.30000,4,0.03300,life,0.19527,0.08156,-0.26329,0.02945
