,PPUT,linz_raw_h0.0,linz_raw_h0.025,ssvi_raw_h0.0,ssvi_raw_h0.025,linz_s21_h0.0,linz_s21_h0.025,ssvi_s21_h0.0,ssvi_s21_h0.025,SP500TR
1990,-0.0885,-0.0798,-0.0820,-0.0866,-0.0889,-0.0792,-0.0814,-0.0838,-0.0862,-0.0480
1991,0.2331,0.2237,0.2220,0.2191,0.2173,0.2228,0.2210,0.2200,0.2182,0.3047
1992,0.0341,0.0331,0.0320,0.0326,0.0315,0.0334,0.0323,0.0331,0.0320,0.0762
1993,0.0730,0.0700,0.0693,0.0693,0.0685,0.0703,0.0696,0.0698,0.0691,0.1008
1994,-0.0169,-0.0200,-0.0208,-0.0215,-0.0223,-0.0200,-0.0209,-0.0214,-0.0223,0.0132
1995,0.3475,0.3426,0.3418,0.3417,0.3408,0.3431,0.3423,0.3425,0.3417,0.3758
1996,0.1834,0.1785,0.1771,0.1775,0.1761,0.1787,0.1774,0.1780,0.1767,0.2296
1997,0.2137,0.2116,0.2088,0.2099,0.2070,0.2113,0.2085,0.2096,0.2067,0.3336
1998,0.1907,0.1983,0.1949,0.1903,0.1868,0.1949,0.1915,0.1866,0.1829,0.2858
1999,0.0923,0.0990,0.0958,0.0926,0.0893,0.0991,0.0959,0.0930,0.0897,0.2065
2000,-0.1395,-0.1615,-0.1636,-0.1638,-0.1660,-0.1613,-0.1634,-0.1633,-0.1655,-0.0881
2001,-0.0209,-0.0554,-0.0586,-0.0594,-0.0627,-0.0553,-0.0586,-0.0589,-0.0622,-0.1189
2002,-0.1756,-0.1741,-0.1771,-0.1778,-0.1809,-0.1740,-0.1770,-0.1777,-0.1807,-0.2210
2003,0.1931,0.1680,0.1653,0.1654,0.1626,0.1681,0.1654,0.1660,0.1632,0.2868
2004,0.0601,0.0541,0.0528,0.0508,0.0494,0.0541,0.0528,0.0511,0.0497,0.1088
2005,0.0228,0.0146,0.0137,0.0108,0.0099,0.0152,0.0143,0.0126,0.0117,0.0491
2006,0.1228,0.1180,0.1170,0.1129,0.1118,0.1185,0.1176,0.1154,0.1143,0.1579
2007,-0.0048,-0.0037,-0.0054,-0.0084,-0.0102,-0.0042,-0.0059,-0.0082,-0.0100,0.0549
2008,-0.2011,-0.2172,-0.2213,-0.2222,-0.2265,-0.2192,-0.2234,-0.2235,-0.2278,-0.3700
2009,0.0871,0.0810,0.0758,0.0720,0.0666,0.0781,0.0729,0.0695,0.0642,0.2646
2010,0.1171,0.0722,0.0693,0.0645,0.0615,0.0719,0.0691,0.0652,0.0621,0.1506
2011,-0.0144,-0.0022,-0.0055,-0.0112,-0.0146,-0.0039,-0.0072,-0.0118,-0.0153,0.0211
2012,0.1000,0.0898,0.0879,0.0832,0.0811,0.0892,0.0873,0.0841,0.0821,0.1600
2013,0.2706,0.2681,0.2668,0.2622,0.2608,0.2681,0.2669,0.2638,0.2624,0.3239
2014,0.1116,0.1004,0.0992,0.0917,0.0902,0.1002,0.0990,0.0935,0.0921,0.1369
2015,-0.0514,-0.0291,-0.0307,-0.0359,-0.0377,-0.0293,-0.0309,-0.0358,-0.0375,0.0138
2016,0.0833,0.0710,0.0695,0.0645,0.0628,0.0704,0.0688,0.0635,0.0618,0.1196
2017,0.1857,0.1822,0.1813,0.1731,0.1721,0.1821,0.1813,0.1747,0.1737,0.2183
2018,-0.0365,-0.0269,-0.0283,-0.0355,-0.0371,-0.0273,-0.0288,-0.0351,-0.0368,-0.0438
2019,0.2529,0.2508,0.2493,0.2449,0.2433,0.2510,0.2495,0.2462,0.2446,0.3149
2020,0.2908,0.3761,0.3703,0.3628,0.3567,0.3779,0.3722,0.3652,0.3592,0.1840
2021,0.1833,0.1782,0.1756,0.1655,0.1626,0.1789,0.1764,0.1665,0.1637,0.2871
2022,-0.1981,-0.1995,-0.2022,-0.2064,-0.2093,-0.1985,-0.2012,-0.2052,-0.2081,-0.1811
2023,0.1917,0.1810,0.1792,0.1702,0.1681,0.1805,0.1786,0.1704,0.1684,0.2629
2024,0.2052,0.1926,0.1911,0.1795,0.1777,0.1928,0.1913,0.1797,0.1779,0.2502
2025,0.1433,0.1217,0.1197,0.1082,0.1058,0.1218,0.1197,0.1086,0.1063,0.1788
2026,0.0928,0.0956,0.0942,0.0863,0.0847,0.0956,0.0942,0.0867,0.0850,0.1440
