set,feature,coef
price,gap_x,0.040202957663992483
price,day0_x,0.008529807683922174
price,mom_12_1,-0.2286463176800104
price,mom_1m,-0.026366100289474073
price,vol60,0.14261563907197417
price+dict,gap_x,0.030559132115426123
price+dict,day0_x,0.014233488983867797
price+dict,mom_12_1,-0.21730727712963796
price+dict,mom_1m,-0.02582357728075777
price+dict,vol60,0.13635654056758578
price+dict,lm_tone,0.07692098351423575
price+dict,lm_pos,0.033291707988026886
price+dict,lm_neg,0.28161201941442954
price+dict,lm_tone_chg,-0.15979406330597157
price+dict,lm_pos_chg,0.07554101135158425
price+dict,lm_neg_chg,-0.2322701123551249
price+dict,has_prev,0.12417387039335041
price+finbert,gap_x,0.05469551508196782
price+finbert,day0_x,0.014596454496320185
price+finbert,mom_12_1,-0.2113748073590565
price+finbert,mom_1m,-0.019890084598231095
price+finbert,vol60,0.13752521612902507
price+finbert,fb_mean,-0.08105767557456793
price+finbert,fb_head,0.025007372565747324
price+finbert,fb_neg,0.13486365373151415
price+finbert,fb_frac_neg,-0.07105132336368729
price+finbert,fb_mean_chg,-0.14383663815934544
price+finbert,fb_head_chg,0.08864597993023096
price+finbert,fb_neg_chg,-0.029530378835111677
price+finbert,has_prev,0.11738926785091591
price+dict+finbert,gap_x,0.045024997955029795
price+dict+finbert,day0_x,0.019461877533305572
price+dict+finbert,mom_12_1,-0.20385870419336227
price+dict+finbert,mom_1m,-0.02111606592382816
price+dict+finbert,vol60,0.12775347263233797
price+dict+finbert,lm_tone,0.08477422595614022
price+dict+finbert,lm_pos,0.04966650456898265
price+dict+finbert,lm_neg,0.2693465995085256
price+dict+finbert,lm_tone_chg,-0.1469358791277971
price+dict+finbert,lm_pos_chg,0.07518381705191736
price+dict+finbert,lm_neg_chg,-0.23403724707957138
price+dict+finbert,has_prev,0.1205118985433006
price+dict+finbert,fb_mean,-0.10488769794894151
price+dict+finbert,fb_head,0.029072424502613603
price+dict+finbert,fb_neg,0.12508603907743798
price+dict+finbert,fb_frac_neg,-0.10220165188389436
price+dict+finbert,fb_mean_chg,-0.13237278735933833
price+dict+finbert,fb_head_chg,0.0808857018438728
price+dict+finbert,fb_neg_chg,-0.0038253388318263896
dict_only,lm_tone,0.058759143445280534
dict_only,lm_pos,0.03058136739544423
dict_only,lm_neg,0.2984324507658898
dict_only,lm_tone_chg,-0.15340700374405752
dict_only,lm_pos_chg,0.08901361626678021
dict_only,lm_neg_chg,-0.22311572009649372
dict_only,has_prev,0.11896698350596795
finbert_only,fb_mean,-0.09298715839660128
finbert_only,fb_head,-0.00281171259223385
finbert_only,fb_neg,0.1444402003393067
finbert_only,fb_frac_neg,-0.048422416278279014
finbert_only,fb_mean_chg,-0.13525264365344794
finbert_only,fb_head_chg,0.09348529614646303
finbert_only,fb_neg_chg,-0.038668521974750666
finbert_only,has_prev,0.12074423128491939
