label,cagr,spy,excess,maxdd,vol,sharpe_ish,months,ic_mean,ic_t,ic_hit,secs,run_at,period,note
hgb_l7_i100,0.0843146476867999,0.122290571279537,-0.037975923592737,-0.2773822915394575,0.1687064414638712,0.564266918080782,72,-0.0062906315865664,-0.3938762924226734,0.5,4.0,2026-09-24 debug,dev,"DEBUG run: panel built while FINRA fetch was at 2014-08 (short features NaN after), not used for selection"
ctrl_mom12_1_top25,0.0836349944839627,0.122290571279537,-0.0386555767955743,-0.2782074104453563,0.1744250325308209,0.5491421474421257,72,-0.0045314861764871,-0.1958699863179298,0.4861111111111111,,2026-09-24 debug,dev,"DEBUG run: panel built while FINRA fetch was at 2014-08 (short features NaN after), not used for selection"
ctrl_ew_universe,0.1111346896135694,0.122290571279537,-0.0111558816659675,-0.1556345566856777,0.1362089713599664,0.8444626782182452,72,,,,,2026-09-24 debug,dev,"DEBUG run: panel built while FINRA fetch was at 2014-08 (short features NaN after), not used for selection"
ctrl_spy,0.122290571279537,0.122290571279537,0.0,-0.1374180913608309,0.1239173186686849,0.9969711816479598,72,,,,,2026-09-24 debug,dev,"DEBUG run: panel built while FINRA fetch was at 2014-08 (short features NaN after), not used for selection"
hgb_l7_i100,0.11171545670181104,0.12229057127953702,-0.010575114577725975,-0.24519264920601724,0.1770153506920692,0.686958761941985,72,-0.0015406031820775306,-0.09439596441525455,0.5138888888888888,4.0,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
hgb_l7_i300,0.11203898064369322,0.12229057127953702,-0.0102515906358438,-0.24478840179550299,0.17693464351827434,0.6889533365786206,72,-0.0012148920705529907,-0.08050836489880815,0.4444444444444444,9.0,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
hgb_l31_i100,0.07584205874782346,0.12229057127953702,-0.04644851253171356,-0.24478304138866347,0.17477923826118288,0.504988951784177,72,-0.003155401216573289,-0.22533589956753977,0.4305555555555556,7.0,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
hgb_l31_i300,0.08183092488367238,0.12229057127953702,-0.040459646395864635,-0.20176581419873363,0.16740612602853933,0.5535474177856616,72,0.0034458660622629428,0.24401530496097676,0.4861111111111111,16.0,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
rf_baseline,0.04237128839200954,0.12229057127953702,-0.07991928288752748,-0.2734256949173336,0.18572577497627674,0.31515702653169003,72,-0.006862726349879744,-0.4036977344798718,0.4444444444444444,65.0,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
ridge_linear,0.0253964312613546,0.12229057127953702,-0.09689414001818242,-0.35678183279359377,0.1975940299111539,0.22457728149974893,72,0.0014916230046050946,0.08700408800948281,0.4166666666666667,2.0,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
ctrl_mom12_1_top25,0.08363499448396272,0.12229057127953702,-0.0386555767955743,-0.27820741044535635,0.17442503253082098,0.5491421474421257,72,-0.004531486176487181,-0.19586998631792982,0.4861111111111111,,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
ctrl_ew_universe,0.1111346896135692,0.12229057127953702,-0.011155881665967815,-0.15563455668567772,0.13620897135996643,0.844462678218245,72,,,,,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
ctrl_spy,0.12229057127953702,0.12229057127953702,0.0,-0.13741809136083094,0.12391731866868494,0.9969711816479598,72,,,,,2026-09-24 03:03,dev,"DEV selection run, full FINRA panel"
