C01_r2port	{}	dev=8.10%	dev_a=12.52%	dev_b=3.87%
C02_abs_def	{"abs_filter": true, "defensive": true}	dev=7.35%	dev_a=11.27%	dev_b=3.58%
C03_abs_def_iv	{"abs_filter": true, "defensive": true, "weighting": "rank_iv"}	dev=7.56%	dev_a=10.68%	dev_b=4.48%
C04_abs_def_cap50	{"abs_filter": true, "defensive": true, "group_cap": 0.5}	dev=7.14%	dev_a=11.58%	dev_b=2.88%
C05_trend1-3-12	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252]}	dev=8.52%	dev_a=11.67%	dev_b=5.48%
C06_sharpe_rank	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "score": "sharpe"}	dev=5.95%	dev_a=7.21%	dev_b=4.65%
C07_vote	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "gate": "vote"}	dev=8.38%	dev_a=11.71%	dev_b=5.07%
C08_vote_iv	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "gate": "vote", "weighting": "rank_iv"}	dev=8.18%	dev_a=11.33%	dev_b=4.98%
C09_noind	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "exclude": ["SOXX", "IBB", "ITB", "KRE", "XME", "GDX", "IGV", "ITA", "VIXY"]}	dev=8.28%	dev_a=12.86%	dev_b=3.92%
C10_corr85	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "max_corr": 0.85}	dev=8.62%	dev_a=12.04%	dev_b=5.28%
C11_rank6-12	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "lookbacks": [126, 252]}	dev=8.91%	dev_a=12.24%	dev_b=5.54%
C12_breadth	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "breadth": true}	dev=8.64%	dev_a=11.48%	dev_b=5.74%
C13_rank3-6-12	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "lookbacks": [63, 126, 252], "skip": 0}	dev=8.77%	dev_a=12.29%	dev_b=5.30%
C14_volcap20	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "vol_cap": 0.2}	dev=9.04%	dev_a=11.18%	dev_b=6.76%
C15_volcap15	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "vol_cap": 0.15}	dev=8.95%	dev_a=10.83%	dev_b=6.89%
C16_volcap25	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "vol_cap": 0.25}	dev=9.17%	dev_a=11.84%	dev_b=6.42%
C17_volcap20_frac15	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "vol_cap": 0.2, "frac": 0.15}	dev=8.75%	dev_a=10.78%	dev_b=6.59%
C18_volcap20_frac25	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "vol_cap": 0.2, "frac": 0.25}	dev=9.17%	dev_a=11.29%	dev_b=6.92%
C19_volcap20_deftrend	{"abs_filter": true, "defensive": true, "trend_lbs": [21, 63, 252], "vol_cap": 0.2, "def_rank": "trend"}	dev=9.04%	dev_a=10.98%	dev_b=6.96%
